Distance,HBW,HBO,NHB
5,845167.69,4141657.74,1549982.94
10,534849.21,1404066.7,755834.15
15,277770.3,506277.64,336675.65
20,129590.07,164849.53,134654.82
25,60151.79,51287.34,53131.97
30,31958.69,16295.34,21515.79
35,16618.58,4483.12,8140.99
40,7284.46,1015.14,2876.17
45,2534.1,250.6,1360.59
50,807.9,157.59,954.92
55,174.59,93.84,601.14
60,24.48,56.34,418.23
65,3.51,30.67,282.77
70,0.2,17.34,187.09
75,0.06,8.28,143.19
80,0.01,4.33,93.27
85,0,1.89,68.58
90,0,1.02,43.69
95,0,0.43,26.36
100,0,0.18,19.37
105,0,0.07,11.94
110,0,0.03,6.65
115,0,0.02,3.87
120,0,0,2.77
125,868.01,4294.68,9588.43