Year,Author,Performance Metric,
2004,Geurs and van Wee,"Accessibility (isochrone, gravity, logsum)",
2007,Abdel-Rahim et al.,Network Connectivity,
2008,"Taylor, M",Accessibility (logsum),
2010,Peeta et al.,Travel time and cost,
2010,Geurs et al.,Accessibility (logsum),
2010,Levinson and Zhu,Travel time and cost,
2010,Zhu et al.,Travel time and cost,
2011,Agarwal et al.,Network connectivity,
2011,Ip and Wang,Network connectivity,
2011,Serulle et al.,Travel time and cost,
2011,"Ibrahim, S",Travel time and cost,
2011,Xie and Levinson,Accessibility (isochrone),
2013,Omer et al.,Travel time and cost,
2014,Osei-Asamoah and Lownes,Network connectivity,
2015,Zhang et al.,Network connectivity,
2015,Guze,Network connectivity,
2015,Jaller et al.,Travel time and cost,
2015,Xu et al.,Network connectivity,
2016,"Winkler, C.",Accessibility (gravity),
2017,Ganin et al.,Accessibility (gravity),
2019,Vodak et al.,Network connectivity,
2019,Hackl and Adey,Network connectivity,